Field=Designator~String~Designator~98|Field=Value~String~Value~59|Field=Quantity~Integer~Quantity~26|Field=Footprint~String~Footprint~58|Field=Description~String~Description~209|Field=Supplier 1~String~Supplier 1~79|Field=Supplier Part Number 1~String~Supplier Part Number 1~177|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~SDL.PrjPcb|ReportField=ProjectFullPath~C:\Users\samkuo\Dropbox\Altium_YeSheng\SDL\SDL.PrjPcb|ReportField=Title~Bill of Materials For Project [SDL.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~12|ReportField=ReportTime~3:10:12 PM|ReportField=ReportDate~8/14/2014|ReportField=ReportDateTime~8/14/2014 3:10:12 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~8/14/2014|ReportField=CurrentTime~2:04:18 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\samkuo\Dropbox\Altium_YeSheng\SDL\schematic\main_pwr.SchDoc|ReportField=DocumentName~main_pwr.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~8/14/2014|ReportField=Organization~|ReportField=ProjectName~SDL.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~SDL.PrjPcb|ReportField=DataSourceFullPath~C:\Users\samkuo\Dropbox\Altium_YeSheng\SDL\SDL.PrjPcb
C1|4.7 uF|1|2220|Ceramic capacitor, 4.7u, 2220 package|Digi-Key|445-1450-1-ND
C2|100 uF|1|1210|Ceramic capacitor, 100u, 1210 package|Digi-Key|1276-3364-1-ND
C3|100 uF|1|2917|Tantalum capacitor, 100u, 2917 package|Digi-Key|399-3769-1-ND
J1, J2||2|TFM-105-02-L-S|Samtec connector, 1.27 mm, single row, 5 pos SMD||
J3, J4||2|SFM-105-02-L-S|Samtec connector, 1.27 mm, single row, 5 pos SMD||
J5||1|PJ-102AH|CONN PWR JACK 2.1X5.5MM HIGH CUR|Digi-Key|CP-102AH-ND
L1|22 uH|1|SLF10145|Inductor, 22 uH, TDK SLF10145|Digi-Key|445-1981-1-ND
P1||1|1x2 header|100 mils standard header|Digi-Key|3M9447-ND
R1|10|1|2512|Resistor, 10 ohm, 2512 package|Digi-Key|CRM2512-JW-100ELFCT-ND
U1||1|MSE16(12)|High Efficiency, 65V 500mA synchronous Step-Down Converter|Digi-Key|LTC3630EMSE#PBF-ND
