Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

B1         BAL-NRF01D3        253.843mil   -285.335mil        244mil       -265mil    253.843mil   -305.669mil  T        270.00 BAL-NRF01D3    
C34        0402                   525mil       -115mil        525mil       -115mil    507.284mil       -115mil  T        360.00 Ceramic capacitor
C33        0402                   525mil        -20mil        525mil        -20mil    507.284mil        -20mil  T        360.00 Ceramic capacitor
C4         0402                   322mil        499mil        322mil        499mil    304.284mil        499mil  T          0.00 Ceramic capacitor
Y5         RV-3049-C3              40mil        245mil         40mil        245mil     83.307mil    182.008mil  T         90.00 RV-3049-C3     
Y4         FA-128                -420mil       -465mil       -420mil       -465mil   -448.543mil   -487.638mil  T        360.00 FA-128         
Y3         CX2520                 457mil       -223mil        457mil       -223mil    482.591mil   -256.464mil  T         90.00 CSX2520        
Y2         ECX-31B                445mil        -65mil        445mil        -65mil        445mil   -114.213mil  T         90.00 ECX-31B        
Y1         ABS05             -101.654mil   -263.654mil   -101.654mil   -263.654mil   -101.654mil   -285.307mil  T         90.00 ABS05          
U8         SC-70-5_(DCK)          380mil       -465mil        380mil       -465mil    336.693mil   -439.409mil  T        270.00 SN74AUP1T14    
U7         minimold-6             140mil       -400mil        140mil       -400mil    165.591mil   -358.661mil  T        270.00 uPG2214TB      
U6         WSON                  -364mil        446mil       -364mil        446mil       -439mil    290.488mil  T         90.00 SST25VF064C    
U5         QFN-32                 -28mil        419mil        -28mil        419mil   -126.425mil    350.102mil  B        360.00 FT232RQ        
U4         QFN-48                 237mil       -111mil        237mil       -111mil    323.614mil      3.173mil  T        270.00 nRF51822       
U3         QFN56             -343.654mil   -164.654mil   -343.654mil   -164.654mil   -215.701mil    -10.126mil  T        270.00 CC2538         
U2         SON-6                  297mil        589mil        297mil        589mil    271.409mil    548.646mil  T         90.00 TPS73533       
U1         DFN-10                 437mil        329mil        437mil        329mil    493.102mil     289.63mil  T        180.00 LTC4413        
R27        0402                   140mil        195mil        140mil        195mil        140mil    212.716mil  T        270.00 Chip resistor  
R26        0402                  -410mil        305mil       -410mil        305mil   -427.716mil        305mil  B        360.00 Chip resistor  
R25        0402                  -315mil        680mil       -315mil        680mil       -315mil    697.716mil  T        270.00 Chip resistor  
R24        0402                   525mil         25mil        525mil         25mil    507.284mil         25mil  T        360.00 Chip resistor  
